SNO,Gender,I am able to quickly adapt to changes in life,I trust others easily,I feel satisfied with my personal life,I feel satisfied with my school life,I feel responsible for doing well in my life,I feel confident about my body image,I can understand and respect others  viewpoints,I hesitate to ask questions in class,I find it difficult to initiate conversations,People in my life see me as a happy person,My teachers see me as a good leader,My friends consider me trustworthy,I give in to peer pressure to fit in,I worry that people do not  like me,I often find it difficult to stay focused during class,I have trouble finishing assignments or tasks on time,"I frequently forget things like assignments, books, or my personal items","I get distracted easily, even by things that aren't part of the task at hand",I often find myself daydreaming or thinking about unrelated things when I should be focusing,I have trouble sitting still or staying in one place for a long time,"I talk or move around excessively, even when it's not appropriate","I tend to act impulsively, without thinking about the consequences",I often interrupt others or have trouble waiting for my turn during conversations,I struggle with organizing tasks or managing my time effectively,"I often feel restless or find it hard to relax, even when I should be resting","When I'm asked to complete a task, I often start it but don't finish it","Do you often lose things necessary for tasks (e.g., books, pencils, assignments)?",I am satisfied with my academic performance,I am able to submit my assignments on time,What prevents you from doing well academically?,I feel anxious due to:,I feel valued when I perform well academically,I get bothered when teachers don't notice my efforts,I feel like I donât belong or fit in at school,I feel jealous of others who are more popular or successful,I don't enjoy group activities or school events,I find online classes better than offline classes,What challenges did you face during online classes?,I often feel happy,I often feel anxious,I often feel lonely or tearful,I feel hopeful during stressful situations,I can understand others feelings and respond accordingly,I get into fights with my classmates or friends,I skip school or classes without a good reason,I tend to lie or hide the truth to avoid trouble,I have trouble following rules or instructions,"When feeling low, I prefer:",I believe I can solve challenging tasks,I have people I can talk to about my feelings,I usually cope with stress by:,I feel satisfied with my eating habits,I skip meals intentionally,I eat even when I'm not hungry due to stress or emotions,I feel guilty after eating,I avoid eating in front of others,I worry excessively about gaining weight,I feel pressure to look a certain way because of social media or peers,I restrict food intake to control my weight,Do you think your eating habits affect your emotional or physical well-being?,I feel overwhelmed by my emotions,I have felt hopeless or helpless recently,I feel like life is not worth living,I have thoughts of hurting myself,I find it difficult to share my feelings with others,I take part  in risky activities,Stress Risk %,Depression Risk %,Eating Disorder Risk %,Behavioral Issues Risk %,Mental Health Risk %,Stress Classification,Depression Classification,Eating Disorder Classification,Behavioral Issues Classification,Predicted Risk %
165,Prefer not to say,Rarely,Never,Never,Rarely,Rarely,Sometimes,Rarely,No,Rarely,Rarely,Often,Sometimes,Always,Sometimes,Often,Never,Often,Sometimes,Rarely,Sometimes,Often,Rarely,Often,Rarely,Rarely,Rarely,Often,Rarely,Always,Difficulty managing time,College admissions,No,No,No,yes,yes,No,Electricity/internet problems  ,Never,Rarely,Sometimes,Often,No,Sometimes,Always,Often,Often,Talking to friends  ,Often,No,Yoga or meditation  ,Rarely,Often,Sometimes,Never,Always,Often,Rarely,Rarely,Often,Sometimes,No,No,Sometimes,Always,"Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license",45.0,50.0,54.166666666666664,66.66666666666666,53.95833333333333,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,47.752083333333346
166,Prefer not to say,Rarely,Never,Always,Rarely,Sometimes,Rarely,Sometimes,Yes,Rarely,Always,Rarely,Rarely,Sometimes,Rarely,Never,Rarely,Often,Often,Rarely,Always,Always,Sometimes,Rarely,Rarely,Often,Always,Never,Rarely,Never,Lack of concentration,Studies,Yes,yes,yes,yes,yes,Yes,Lack of social interaction  ,Often,Rarely,Rarely,Often,Yes,Always,Sometimes,Sometimes,Often,Ignoring the feelings  ,Never,No,Helping others  ,Never,Often,Rarely,Never,Always,Rarely,Rarely,Always,Always,Always,Yes,Yes,Sometimes,Always,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Running away from home, Using weapons or carrying dangerous objects that could hurt others",40.0,80.0,66.66666666666666,75.0,65.41666666666666,Moderate Risk,High Risk,High Risk,High Risk,57.80833333333333
167,Female,Often,Rarely,Sometimes,Rarely,Sometimes,Always,Often,Sometimes,Rarely,Always,Sometimes,Rarely,Rarely,Rarely,Sometimes,Never,Often,Never,Rarely,Always,Sometimes,Sometimes,Rarely,Often,Rarely,Always,Never,Never,Always,Distractions,Career,Yes,yes,yes,yes,yes,No,Lack of time management  ,Rarely,Always,Often,Always,No,Rarely,Always,Often,Never,Talking to teachers  ,Sometimes,Yes,Watching TV  ,Always,Sometimes,Often,Never,Sometimes,Sometimes,Never,Always,Never,Often,Yes,Yes,Sometimes,Often,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Driving without a license, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",60.0,85.0,45.83333333333333,33.33333333333333,56.04166666666666,High Risk,High Risk,Moderate Risk,Moderate Risk,54.6875
168,Prefer not to say,Always,Rarely,Sometimes,Sometimes,Sometimes,Often,Never,No,Often,Never,Sometimes,Rarely,Never,Rarely,Never,Rarely,Sometimes,Often,Rarely,Never,Sometimes,Always,Sometimes,Rarely,Always,Never,Sometimes,Rarely,Rarely,Poor study habits,Exams,No,Yes,yes,No,No,No,Personal reasons  ,Always,Often,Always,Always,Yes,Never,Often,Often,Rarely,Solving on my own  ,Often,Yes,Changing the way I think  ,Always,Never,Often,Often,Often,Sometimes,Sometimes,Never,Always,Often,Not Sure,Not Sure,Sometimes,Rarely,"Experimenting with substances I try alcohol, smoking, or other substances, Running away from home",70.0,50.0,54.166666666666664,33.33333333333333,51.875,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,51.31041666666666
169,Prefer not to say,Rarely,Sometimes,Often,Always,Rarely,Sometimes,Rarely,Yes,Often,Rarely,Always,Often,Often,Often,Often,Always,Often,Always,Sometimes,Sometimes,Always,Always,Always,Rarely,Never,Never,Rarely,Often,Always,Difficulty understanding content,Results,No,No,yes,yes,yes,Yes,Technical issues  ,Sometimes,Rarely,Often,Rarely,No,Rarely,Often,Always,Rarely,Talking to parents  ,Rarely,No,Writing a diary  ,Always,Often,Rarely,Often,Rarely,Sometimes,Never,Rarely,Often,Sometimes,Not Sure,Not Sure,Skip,Always,"Skipping classes, Stealing or shoplifting, Avoiding homework or assignments intentionally",40.0,65.0,50.0,50.0,51.25,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,52.67708333333335
170,Male,Often,Often,Sometimes,Often,Never,Rarely,Often,Yes,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Often,Rarely,Sometimes,Never,Rarely,Often,Sometimes,Often,Never,Rarely,Often,Often,Always,Difficulty managing time,I dont feel anxious,Yes,No,No,yes,yes,Yes,Difficulty understanding content  ,Rarely,Always,Always,Sometimes,No,Often,Often,Rarely,Always,Waiting for things to improve  ,Never,Yes,Yoga or meditation  ,Always,Rarely,Never,Always,Often,Rarely,Always,Often,Never,Always,No,No,Always,Skip,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",85.0,45.0,45.83333333333333,66.66666666666666,60.62499999999999,High Risk,Moderate Risk,Moderate Risk,High Risk,58.55624999999999
171,Prefer not to say,Sometimes,Always,Often,Often,Often,Sometimes,Sometimes,No,Always,Always,Never,Rarely,Never,Rarely,Sometimes,Always,Rarely,Often,Always,Never,Sometimes,Never,Rarely,Sometimes,Always,Rarely,Often,Sometimes,Sometimes,Lack of concentration,Career,No,Yes,No,No,No,No,Lack of social interaction  ,Always,Rarely,Often,Never,No,Always,Always,Never,Never,Talking to friends  ,Sometimes,No,Helping others  ,Sometimes,Often,Often,Sometimes,Always,Often,Rarely,Often,Rarely,Always,Yes,Yes,Sometimes,Always,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances",60.0,90.0,66.66666666666666,33.33333333333333,62.5,High Risk,High Risk,High Risk,Moderate Risk,60.18333333333333
172,Male,Never,Sometimes,Sometimes,Always,Rarely,Rarely,Often,No,Never,Sometimes,Always,Often,Rarely,Always,Rarely,Never,Often,Rarely,Sometimes,Never,Often,Often,Never,Always,Sometimes,Often,Often,Sometimes,Never,Distractions,College admissions,Yes,Yes,yes,yes,yes,No,Electricity/internet problems  ,Often,Rarely,Rarely,Never,No,Rarely,Rarely,Rarely,Sometimes,Talking to teachers  ,Always,No,Watching TV  ,Rarely,Always,Rarely,Always,Often,Always,Always,Always,Never,Always,Not Sure,Not Sure,Always,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Driving without a license",70.0,50.0,66.66666666666666,33.33333333333333,55.0,High Risk,Moderate Risk,High Risk,Moderate Risk,53.66458333333332
173,Male,Often,Often,Always,Never,Always,Sometimes,Rarely,Yes,Sometimes,Sometimes,Never,Always,Never,Always,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Always,Sometimes,Never,Always,Often,Often,Poor study habits,Studies,Yes,Yes,yes,yes,No,No,Lack of time management  ,Never,Often,Often,Always,Yes,Often,Rarely,Always,Rarely,Ignoring the feelings  ,Rarely,No,Writing a diary  ,Sometimes,Rarely,Always,Rarely,Never,Never,Rarely,Sometimes,Rarely,Often,No,No,Sometimes,Always,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home",50.0,35.0,37.5,66.66666666666666,47.291666666666664,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,47.36458333333335
174,Female,Always,Often,Rarely,Always,Rarely,Rarely,Often,Yes,Often,Always,Often,Always,Often,Always,Rarely,Always,Often,Often,Always,Sometimes,Rarely,Never,Sometimes,Rarely,Sometimes,Never,Rarely,Never,Sometimes,Difficulty managing time,Results,No,No,yes,No,No,No,Personal reasons  ,Sometimes,Sometimes,Always,Always,No,Never,Always,Never,Always,Solving on my own  ,Never,No,Changing the way I think  ,Always,Sometimes,Never,Rarely,Rarely,Never,Always,Always,Sometimes,Often,No,No,Skip,Always,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Using weapons or carrying dangerous objects that could hurt others",65.0,50.0,41.66666666666667,33.33333333333333,47.5,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,46.26875
175,Prefer not to say,Often,Never,Rarely,Always,Never,Always,Never,Yes,Rarely,Sometimes,Always,Always,Rarely,Never,Often,Always,Never,Often,Always,Sometimes,Sometimes,Often,Rarely,Never,Sometimes,Rarely,Always,Often,Never,Difficulty understanding content,Exams,No,Yes,No,No,yes,No,Difficulty understanding content  ,Often,Rarely,Sometimes,Always,Yes,Sometimes,Sometimes,Always,Often,Waiting for things to improve  ,Rarely,No,Yoga or meditation  ,Always,Never,Rarely,Never,Sometimes,Rarely,Always,Often,Always,Often,Yes,Yes,Never,Always,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally",55.00000000000001,70.0,41.66666666666667,75.0,60.41666666666667,Moderate Risk,High Risk,Moderate Risk,High Risk,58.393750000000026
176,Female,Rarely,Rarely,Never,Sometimes,Often,Often,Never,Yes,Never,Never,Rarely,Often,Rarely,Rarely,Sometimes,Never,Rarely,Often,Rarely,Never,Often,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Always,Lack of concentration,I dont feel anxious,Yes,Yes,yes,No,yes,No,Technical issues  ,Always,Never,Rarely,Never,No,Never,Rarely,Often,Always,Talking to parents  ,Often,Yes,Helping others  ,Often,Always,Sometimes,Often,Often,Rarely,Always,Always,Rarely,Never,No,No,Skip,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",30.0,20.0,70.83333333333334,58.333333333333336,44.79166666666667,Moderate Risk,Low Risk,High Risk,Moderate Risk,45.04583333333333
177,Female,Always,Sometimes,Always,Often,Always,Often,Always,Yes,Never,Often,Always,Never,Often,Often,Rarely,Rarely,Often,Always,Often,Never,Rarely,Rarely,Rarely,Rarely,Often,Always,Sometimes,Always,Often,Distractions,Career,Yes,Yes,yes,yes,yes,Yes,Electricity/internet problems  ,Sometimes,Always,Rarely,Rarely,No,Always,Always,Never,Rarely,Talking to teachers  ,Often,Yes,Watching TV  ,Sometimes,Sometimes,Often,Always,Sometimes,Rarely,Rarely,Never,Often,Rarely,Not Sure,Not Sure,Always,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",40.0,60.0,58.333333333333336,41.66666666666667,50.0,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,50.193749999999994
178,Prefer not to say,Always,Never,Sometimes,Often,Always,Often,Rarely,Yes,Always,Never,Rarely,Often,Rarely,Always,Always,Sometimes,Never,Always,Sometimes,Often,Always,Sometimes,Never,Often,Often,Sometimes,Always,Sometimes,Often,Difficulty understanding content,Exams,No,No,yes,No,yes,Yes,Lack of social interaction  ,Always,Often,Rarely,Rarely,No,Sometimes,Sometimes,Sometimes,Always,Talking to friends  ,Rarely,Yes,Writing a diary  ,Rarely,Sometimes,Always,Never,Rarely,Sometimes,Never,Never,Often,Often,No,No,Skip,Skip,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home",45.0,30.0,41.66666666666667,66.66666666666666,45.83333333333333,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,46.07083333333334
179,Prefer not to say,Never,Rarely,Always,Rarely,Sometimes,Rarely,Never,Yes,Always,Rarely,Always,Sometimes,Rarely,Often,Never,Rarely,Rarely,Always,Always,Rarely,Never,Never,Rarely,Never,Always,Rarely,Always,Sometimes,Never,Difficulty managing time,Studies,Yes,Yes,No,No,No,Yes,Lack of time management  ,Rarely,Never,Often,Never,No,Sometimes,Always,Often,Rarely,Ignoring the feelings  ,Never,Yes,Changing the way I think  ,Often,Sometimes,Rarely,Sometimes,Often,Never,Always,Often,Never,Always,Yes,Yes,Often,Always,"Skipping classes, Bullying or getting into fights, Running away from home",55.00000000000001,95.0,45.83333333333333,50.0,61.45833333333333,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,60.66874999999996
180,Female,Sometimes,Never,Never,Always,Never,Never,Rarely,No,Always,Rarely,Sometimes,Rarely,Often,Rarely,Sometimes,Never,Often,Rarely,Rarely,Never,Often,Always,Always,Often,Sometimes,Often,Often,Always,Always,Poor study habits,Results,No,No,yes,yes,No,Yes,Personal reasons  ,Sometimes,Often,Rarely,Sometimes,Yes,Sometimes,Never,Always,Always,Solving on my own  ,Never,No,Yoga or meditation  ,Never,Always,Sometimes,Rarely,Always,Often,Rarely,Never,Always,Rarely,Not Sure,Not Sure,Skip,Often,"Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",45.0,45.0,62.5,83.33333333333334,58.958333333333336,Moderate Risk,Moderate Risk,High Risk,High Risk,57.37708333333331
181,Male,Sometimes,Often,Always,Rarely,Sometimes,Often,Rarely,Yes,Rarely,Never,Always,Rarely,Always,Never,Always,Never,Always,Never,Rarely,Always,Sometimes,Rarely,Never,Never,Never,Always,Rarely,Sometimes,Sometimes,Distractions,College admissions,No,Yes,yes,No,No,Yes,Difficulty understanding content  ,Often,Always,Always,Never,No,Never,Never,Always,Often,Waiting for things to improve  ,Always,No,Helping others  ,Rarely,Always,Sometimes,Rarely,Often,Sometimes,Never,Sometimes,Always,Always,No,No,Often,Always,Running away from home,70.0,35.0,66.66666666666666,58.333333333333336,57.5,High Risk,Moderate Risk,High Risk,Moderate Risk,47.08958333333333
182,Prefer not to say,Never,Rarely,Never,Rarely,Never,Often,Often,No,Sometimes,Never,Always,Sometimes,Never,Rarely,Rarely,Always,Never,Always,Always,Always,Sometimes,Always,Always,Never,Rarely,Rarely,Never,Always,Sometimes,Lack of concentration,I dont feel anxious,No,yes,yes,No,yes,No,Technical issues  ,Always,Sometimes,Often,Always,Yes,Always,Often,Always,Never,Talking to parents  ,Always,No,Watching TV  ,Sometimes,Often,Often,Always,Rarely,Never,Never,Never,Always,Always,Not Sure,Not Sure,Never,Sometimes,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",45.0,45.0,62.5,66.66666666666666,54.791666666666664,Moderate Risk,Moderate Risk,High Risk,High Risk,54.92916666666669
183,Male,Always,Rarely,Sometimes,Rarely,Rarely,Always,Sometimes,No,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Often,Rarely,Sometimes,Rarely,Sometimes,Never,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Difficulty managing time,College admissions,No,No,No,No,yes,No,Electricity/internet problems  ,Sometimes,Often,Rarely,Sometimes,No,Never,Never,Sometimes,Often,Talking to teachers  ,Often,Yes,Writing a diary  ,Never,Rarely,Rarely,Never,Always,Never,Rarely,Often,Never,Never,Not Sure,Not Sure,Often,Often,"Bullying or getting into fights, Running away from home, Using weapons or carrying dangerous objects that could hurt others",25.0,50.0,37.5,41.66666666666667,38.54166666666667,Low Risk,Moderate Risk,Moderate Risk,Moderate Risk,46.318749999999994
184,Male,Rarely,Often,Always,Often,Often,Rarely,Often,Yes,Always,Never,Often,Often,Sometimes,Rarely,Often,Rarely,Sometimes,Never,Often,Sometimes,Often,Always,Often,Never,Often,Rarely,Rarely,Never,Rarely,Poor study habits,Exams,Yes,No,yes,yes,No,Yes,Lack of time management  ,Rarely,Sometimes,Rarely,Never,No,Rarely,Rarely,Often,Sometimes,Solving on my own  ,Sometimes,No,Changing the way I think  ,Often,Often,Never,Sometimes,Always,Often,Often,Sometimes,Sometimes,Often,No,No,Skip,Skip,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",60.0,25.0,54.166666666666664,50.0,47.291666666666664,High Risk,Low Risk,Moderate Risk,Moderate Risk,45.66666666666664
185,Male,Sometimes,Rarely,Rarely,Never,Often,Rarely,Rarely,No,Rarely,Always,Never,Rarely,Always,Always,Always,Never,Often,Never,Rarely,Always,Always,Sometimes,Never,Always,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Difficulty understanding content,Studies,No,Yes,yes,yes,No,Yes,Lack of social interaction  ,Sometimes,Never,Sometimes,Always,No,Always,Sometimes,Rarely,Sometimes,Ignoring the feelings  ,Sometimes,Yes,Yoga or meditation  ,Never,Always,Always,Rarely,Always,Sometimes,Sometimes,Always,Never,Sometimes,Yes,Yes,Sometimes,Sometimes,"Skipping classes, Running away from home, Using weapons or carrying dangerous objects that could hurt others",40.0,70.0,70.83333333333334,58.333333333333336,59.79166666666667,Moderate Risk,High Risk,High Risk,Moderate Risk,58.12083333333336
186,Female,Rarely,Sometimes,Always,Rarely,Always,Always,Often,Yes,Rarely,Often,Rarely,Never,Rarely,Rarely,Rarely,Never,Rarely,Always,Sometimes,Rarely,Never,Rarely,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Often,Lack of concentration,Career,No,Yes,yes,No,No,No,Personal reasons  ,Never,Sometimes,Never,Always,Yes,Often,Sometimes,Never,Often,Talking to friends  ,Often,No,Helping others  ,Rarely,Sometimes,Always,Always,Sometimes,Often,Never,Often,Rarely,Sometimes,Not Sure,Not Sure,Never,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",35.0,30.0,66.66666666666666,50.0,45.416666666666664,Moderate Risk,Moderate Risk,High Risk,Moderate Risk,48.30208333333333
187,Male,Rarely,Sometimes,Never,Rarely,Rarely,Always,Never,No,Rarely,Rarely,Always,Never,Always,Rarely,Often,Often,Never,Rarely,Often,Sometimes,Never,Always,Never,Never,Never,Sometimes,Often,Often,Sometimes,Distractions,Results,No,No,yes,yes,yes,Yes,Difficulty understanding content  ,Rarely,Never,Often,Always,No,Rarely,Never,Often,Always,Waiting for things to improve  ,Always,No,Watching TV  ,Never,Often,Never,Rarely,Never,Always,Often,Always,Always,Sometimes,Yes,Yes,Often,Rarely,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally",60.0,60.0,50.0,66.66666666666666,59.166666666666664,High Risk,High Risk,Moderate Risk,High Risk,58.01458333333335
188,Female,Rarely,Sometimes,Often,Always,Rarely,Always,Rarely,No,Often,Often,Never,Often,Sometimes,Never,Always,Always,Rarely,Rarely,Often,Always,Often,Rarely,Rarely,Often,Often,Never,Often,Sometimes,Sometimes,Poor study habits,I dont feel anxious,No,No,No,No,No,No,Technical issues  ,Rarely,Rarely,Sometimes,Often,No,Never,Often,Never,Rarely,Talking to parents  ,Never,Yes,Changing the way I think  ,Sometimes,Often,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Sometimes,Not Sure,Not Sure,Always,Often,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Using weapons or carrying dangerous objects that could hurt others",45.0,70.0,29.166666666666668,8.333333333333332,38.125,Moderate Risk,High Risk,Low Risk,Low Risk,40.17291666666667
